Title,Price,Property Name,Figure Count,Price per Sqft,Carpet Area Label,Carpet Area Value,Status Label,Status Value,Floor Label,Floor Value,Transaction Label,Transaction Value,Furnishing Label,Furnishing Value,Overlooking Label,Overlooking Value,Ownership Label,Ownership Value,Parking Label,Parking Value,Bathroom Label,Bathroom Value,Balcony Label,Balcony Value
"3 BHK House for Sale in Domlur Stage 2, Domlur",₹95 Lac,,15+,₹5758 per sqft,Carpet Area,1500 sqft,Status,Ready to Move,Floor,1 out of 3,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,"Garden/Park, Main Road",,,Car Parking,"1 Covered,",Bathroom,2,Balcony,1
3 BHK Apartment for Sale in Domlur Bangalore,₹1.77 Cr,natasha golf view apartments,15+,₹10038 per sqft,Carpet Area,1571 sqft,Status,Ready to Move,Floor,5 out of 7,Transaction,Resale,Furnishing,Furnished,overlooking,"Garden/Park, Pool, Main Road",Ownership,Freehold,,,Bathroom,2,Balcony,2
2 BHK Apartment for Sale in Domlur Bangalore,₹1.31 Cr,natasha golf view apartments,10+,₹9632 per sqft,Super Area,1360 sqft,Status,Ready to Move,Floor,1 out of 5,Transaction,Resale,Furnishing,Semi-Furnished,,,Ownership,Co-operative Society,,,Bathroom,3,Balcony,1
"2 BHK Apartment for Sale in Amarjyothi Layout, Domlur",₹1.30 Cr,Axis Vivaina,15+,₹8966 per sqft,Carpet Area,1370 sqft,Status,Ready to Move,Floor,Ground out of 4,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,Main Road,Ownership,Freehold,,,Bathroom,2,Balcony,1
"2 BHK House for Sale in Deena Bandu Nagar, Domlur",₹65 Lac,,6+,₹9286 per sqft,Carpet Area,500 sqft,Status,Ready to Move,Floor,2 out of 2,Transaction,Resale,Furnishing,Furnished,,,Ownership,Freehold,,,Bathroom,2,Balcony,1
"1 BHK House for Sale in Domlur Village, Domlur",₹2 Cr,,3+,₹16667 per sqft,Carpet Area,1600 sqft,Status,Ready to Move,Floor,4 out of 4,Transaction,Resale,Furnishing,Unfurnished,,,Ownership,Freehold,,,Bathroom,1,,
"2 BHK Apartment for Sale in Amarjyoti Layout-Domlur, Domlur",₹74 Lac,,5+,₹6727 per sqft,Super Area,1100 sqft,Status,Ready to Move,Floor,2 out of 3,Transaction,Resale,Furnishing,Unfurnished,overlooking,"Garden/Park, Main Road",Ownership,Freehold,,,Bathroom,2,Balcony,1
"3 BHK Apartment for Sale in Krishna Reddy Layout Domlur, Domlur",₹3.30 Cr,,17+,₹18303 per sqft,Carpet Area,1600 sqft,Status,Ready to Move,Floor,1 out of 4,Transaction,Resale,Furnishing,Furnished,overlooking,"Main Road, Garden/Park",Ownership,Freehold,,,Bathroom,3,Balcony,3
"3 BHK Apartment for Sale in Domlur Stage 2, Domlur",₹7 Cr,,19+,₹22996 per sqft,Carpet Area,2400 sqft,Status,Ready to Move,Floor,3 out of 4,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,"Garden/Park, Pool, Main Road",Ownership,Freehold,Car Parking,2 Covered,Bathroom,3,Balcony,3
"3 BHK Apartment for Sale in Domlur Stage 1, Domlur",₹1.49 Cr,,1,₹8237 per sqft,Super Area,1809 sqft,Status,Ready to Move,Floor,4 out of 4,Transaction,New Property,Furnishing,Unfurnished,,,Ownership,Freehold,,,Bathroom,3,Balcony,2
4 BHK Apartment for Sale in Domlur Bangalore,₹3.50 Cr,,19+,₹18421 per sqft,Carpet Area,1750 sqft,Status,Ready to Move,Floor,3 out of 4,Transaction,Resale,Furnishing,Furnished,overlooking,"Garden/Park, Pool, Main Road",,,Car Parking,1 Covered,Bathroom,3,Balcony,2
"3 BHK Apartment for Sale in Amarjyoti Layout-Domlur, Domlur",₹2.75 Cr,,11+,₹13095 per sqft,Carpet Area,1900 sqft,Status,Ready to Move,Floor,Ground out of 3,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,Main Road,Ownership,Freehold,,,Bathroom,3,Balcony,1
2 BHK Apartment for Sale in Domlur Bangalore,₹1.15 Cr,natasha golf view apartments,9+,₹7931 per sqft,Carpet Area,1350 sqft,Status,Ready to Move,Floor,Ground out of 7,Transaction,Resale,Furnishing,Unfurnished,overlooking,Garden/Park,Ownership,Freehold,,,Bathroom,2,Balcony,1
3 BHK Apartment for Sale in Domlur Bangalore,₹3.65 Cr,Orchard Green,9+,₹13645 per sqft,Super Area,2675 sqft,Status,Ready to Move,Floor,1 out of 5,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,"Garden/Park, Pool",Ownership,Freehold,Car Parking,1 Covered,Bathroom,3,Balcony,3
"4 BHK Apartment for Sale in Amarjyoti Layout-Domlur, Domlur",₹3.90 Cr,Victoria 2,10+,₹16957 per sqft,Carpet Area,1965 sqft,Status,Ready to Move,Floor,3 out of 4,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,Main Road,Ownership,Freehold,Car Parking,1 Covered,Bathroom,4,,
4 BHK Villa for Sale in Domlur Bangalore,₹8.50 Cr,Embassy Grove,1,₹18889 per sqft,Super Area,4500 sqft,Status,Ready to Move,,,Transaction,New Property,Furnishing,Semi-Furnished,overlooking,"Garden/Park, Pool",Ownership,Freehold,Car Parking,2 Covered,Bathroom,4,Balcony,4
4 BHK Apartment for Sale in Domlur Bangalore,₹6.59 Cr,Embassy Grove,1,₹15372 per sqft,Super Area,4287 sqft,Status,Ready to Move,Floor,9 out of 9,Transaction,New Property,Furnishing,Unfurnished,overlooking,"Pool, Garden/Park, Main Road",Ownership,Freehold,Car Parking,2 Covered,Bathroom,4,Balcony,3
4 BHK Apartment for Sale in Domlur Bangalore,₹8 Cr,Embassy Grove,1,₹18661 per sqft,Super Area,4287 sqft,,,Floor,3 out of 3,Transaction,Resale,Furnishing,Unfurnished,,,Ownership,Freehold,Car Parking,3 Covered,Bathroom,5,Balcony,3
4 BHK Apartment for Sale in Domlur Bangalore,₹9.25 Cr,Embassy Grove,20+,₹18878 per sqft,Super Area,4900 sqft,Status,Ready to Move,Floor,4 out of 5,Transaction,New Property,Furnishing,Unfurnished,overlooking,Main Road,Ownership,Freehold,,,Bathroom,4,Balcony,3
"4 BHK Apartment for Sale in Defence Colony-Domlur, Domlur",₹7.75 Cr,Embassy Grove,13+,₹12917 per sqft,Super Area,6000 sqft,Status,Ready to Move,Floor,2 out of 4,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,Garden/Park,Ownership,Freehold,Car Parking,3 Covered,Bathroom,6,Balcony,5
4 BHK Villa for Sale in Domlur Bangalore,₹10 Cr,Embassy Grove,10+,₹19685 per sqft,Carpet Area,4500 sqft,Status,Ready to Move,,,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,"Garden/Park, Pool",Ownership,Freehold,Car Parking,2 Covered,Bathroom,5,Balcony,3
4 BHK Villa for Sale in Domlur Bangalore,₹8.26 Cr,Embassy Grove,1,₹19000 per sqft,Carpet Area,4250 sqft,Status,Ready to Move,,,Transaction,New Property,Furnishing,Semi-Furnished,overlooking,"Garden/Park, Pool, Main Road",Ownership,Freehold,Car Parking,1 Covered,Bathroom,4,Balcony,3
4 BHK Builder Floor for Sale in Domlur Bangalore,₹10.50 Cr,Embassy Grove,18+,₹23989 per sqft,Super Area,4377 sqft,Status,Ready to Move,Floor,Ground out of 4,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,Garden/Park,Ownership,Freehold,Car Parking,2 Covered,Bathroom,4,Balcony,3
4 BHK Apartment for Sale in Domlur Bangalore,₹3 Cr,,1,₹9677 per sqft,Super Area,3100 sqft,Status,Ready to Move,Floor,7 out of 7,Transaction,Resale,Furnishing,Semi-Furnished,overlooking,Main Road,Ownership,Leasehold,,,Bathroom,3,Balcony,1
